site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
ME00,2001-02-12T12:40:00,0.1,22.4,4.4,32.4,2.8,-999,-999,-999,-999,-999
ME00,2001-02-12T13:45:00,0,21.4,4.5,46.6,2.8,71.5,5.9,0.7,-999,-999
ME00,2001-02-12T14:15:00,0,30.6,5.4,57.3,4.4,-999,-999,-999,-999,-999
EL00,2001-02-09T22:00:00,0,2,2.7,14.3,2,-999,-999,-999,-999,848
SY00,2001-02-10T09:50:00,0,31.9,5.5,91.4,6,473.9,34.8,6.4,-999,-999
AT03,2001-02-11T20:15:00,2.1,40.1,9.7,88.4,3.5,-999,-999,-999,-999,-999
ME00,2001-02-12T14:45:00,0,31,5.4,64.5,2.5,568.2,37.9,4.2,-999,-999
VR01,2001-02-12T11:30:00,2.9,78.8,3.8,134.6,2.8,-999,-999,-999,-999,-999
SC01,2001-02-12T09:40:00,2.3,79.6,3.4,132.5,0.6,4210.6,384.7,132.6,-999,525
VR01,2001-02-12T11:30:00,2.5,79.6,3.9,127,1.1,1220.1,89.8,24.8,-999,782
LS00,2001-02-12T11:00:00,15.9,131.9,4.6,197.3,2.4,790.5,64.1,37.7,-999,1011
RN01,2001-02-12T12:00:00,1.1,68.7,3.5,109.4,1.7,897.9,86.1,53.7,-999,681
JV00,2001-02-12T10:25:00,26.2,132.2,4.4,159.4,0.5,-999,-999,-999,-999,8413
LS00,2001-02-13T13:35:00,4.5,182.4,5.1,251,4.9,2866.8,334,219.6,-999,-999
LS00,2001-02-13T14:30:00,3.7,163.1,7.2,212.3,3,3971.5,464.1,246.1,-999,-999
RN02,2001-02-13T11:35:00,0.4,87.5,6.1,126.7,4.1,4777,576.6,411.5,-999,508
RN01,2001-02-13T14:45:00,0.5,93.4,5.5,161.1,3.1,4375.4,559,406,-999,-999
VR01,2001-02-13T12:50:00,2.5,93.9,6.2,146.8,4.4,2198.6,233.8,124,-999,-999
JV00,2001-02-13T13:50:00,15.9,131.8,2.7,234.9,3.3,23926.9,2692.9,717.2,6740,4635
SY00,2001-02-13T11:00:00,0,95.7,9.9,153.6,8.4,520.8,45.7,55.1,-999,-999
SC01,2001-02-13T12:20:00,2.1,72.4,4.3,103.6,2.8,11437,1167.2,510.8,-999,-999
AT03,2001-02-13T16:15:00,0.5,62.5,8.3,105.6,7.4,515.5,55.4,10.8,-999,-999
CP01,2001-02-13T11:05:00,0.8,100.1,5.7,144.4,5.2,494.4,38.8,5.2,-999,304
