day,DO.obs,SpCond,turbidity,pH,tempwater,Q.cfs
2013-02-05,9.558333333333334,348.5,43.75416666666667,8.372291666666667,5.353958333333333,529.9583333333334
2013-02-06,9.530625,348.1770833333333,40.391666666666666,8.379791666666668,5.253958333333333,529.3020833333334
2013-02-07,9.437291666666667,345.0833333333333,34.146875,8.3921875,5.915208333333333,538.4583333333334
2013-02-08,9.481617647058824,342.0869565217391,28.866911764705883,8.417573529411765,5.236018095391892,542.556338028169
2013-02-25,10.19884945505,263.0208333333333,19.196153846153845,8.413559604038461,7.105,538.775
2013-02-26,10.216349946875,264.8541666666667,19.475,8.393105704520833,4.564583333333333,530.2916666666666
2013-02-27,10.3958209140625,266.5416666666667,20.647916666666667,8.359255945895834,4.498125,500.6979166666667
2013-02-28,10.465266383229167,268.5208333333333,18.947916666666668,8.338613525375001,4.512708333333333,535.3541666666666
2013-03-01,10.230091336625,266.8541666666667,19.83125,8.333901426895833,5.704375,523.7708333333334
2013-03-02,9.931950762708333,266.0833333333333,20.170833333333334,8.333675967375,7.007708333333333,538.0520833333334
2013-03-03,9.535885061604167,265.5833333333333,21.970833333333335,8.356701797520833,7.890208333333334,546.5208333333334
2013-03-04,9.279851300385417,265.1666666666667,23.05625,8.374660234354167,8.494166666666667,555.7604166666666
2013-03-05,9.4152961310625,263.5208333333333,26.727083333333333,8.365274261833333,8.373541666666666,571.9166666666666
2013-03-06,9.2716870381145835,261.4375,24.95,8.354600196770834,9.0875,573.8958333333334
2013-03-07,9.134272756520833,257.6666666666667,26.30625,8.344111023291667,9.396458333333333,577.0104166666666
2013-03-08,9.08658327071875,252.91666666666666,33.016666666666666,8.3323630585,8.759791666666667,616.5208333333334
2013-03-09,9.274075648802084,244.6875,40.3125,8.295620952833334,7.629166666666666,681.3958333333334
2013-03-10,9.62074862553125,235.5,39.572916666666664,8.26452435675,6.825208333333333,661.8636363636364
2013-03-11,9.4634655190625,234.91666666666666,31.3875,8.257212920604166,7.82125,647.6458333333334
2013-03-12,9.2328917305625,234.91666666666666,31.352083333333333,8.233284628604167,9.035416666666666,647.0208333333334
2013-03-13,9.042765577989583,239.35416666666666,35.75625,8.2050457975,10.15375,664.4375
2013-03-14,8.826564962916667,239.54166666666666,40.23125,8.193552744645833,11.039583333333333,657.3125
2013-03-15,8.664434453208333,238.27083333333334,45.952083333333334,8.1873617869375,11.30875,661.0833333333334
2013-03-16,8.566726950395834,237.72916666666666,47.68958333333333,8.1800292419375,11.051458333333333,663.1354166666666
2013-03-17,8.716764105729167,240.1875,49.108333333333334,8.180319759729167,10.417708333333334,692.40625
2013-03-18,8.814117570614583,238.47916666666666,52.18125,8.1894979910625,10.060208333333334,736.59375
2013-03-19,9.04127566315625,226.91666666666666,56.739583333333336,8.174245252916666,8.712916666666667,763.0315789473684
2013-03-20,9.461143367989584,214.625,55.975,8.166034529270833,7.91125,751.6666666666666
