day,DO.obs,SpCond,turbidity,turbidity.capped,pH,tempwater,Q.cfs
2018-02-18,11.811740667708333,292.14166666666665,49.09354166666667,49.09354166666667,8.526145833333333,4.091109786583333,NA
2018-02-19,11.485555509375,290.12708333333336,65.93757894736842,65.93757894736842,8.521770833333333,4.711034972104167,NA
2018-02-20,11.65326361030303,292.80304654526316,70.63060392020833,70.63060392020833,NA,1.7784919786979168,NA
2018-02-21,NA,312.27141523854164,40.12213832136986,40.12213832136986,NA,2.514572916666667,NA
2018-02-22,12.0708,333.78432247604167,23.571351101952942,23.571351101952942,NA,3.4225729166666667,NA
2018-02-23,12.121145833333333,346.7491901166667,60.98875,60.98875,8.496458333333333,6.218666666666667,NA
2018-02-24,11.9434375,355.2241975416667,39.12510416666667,39.12510416666667,8.5340625,6.688197916666667,NA
2018-02-25,12.263333333333334,357.06680344270836,41.67135416666667,41.67135416666667,8.530729166666667,6.097677083333333,NA
2018-02-26,12.207708333333333,336.7274945958333,47.49427083333333,47.49427083333333,8.535729166666666,6.296385416666666,NA
2018-02-27,11.821875,329.3070326104167,95.76229166666667,95.76229166666667,8.533958333333333,7.187,NA
2018-02-28,11.799479166666666,339.8632166729167,56.725520833333334,56.725520833333334,8.517291666666667,7.1303020833333335,NA
2018-03-01,11.84875,348.6268927114583,91.10364583333333,91.10364583333333,8.5021875,7.40275,NA
2018-03-02,11.974761904761905,346.07533536190476,170.74,170.74,8.437142857142858,6.310190476190476,NA
2018-03-03,NA,NA,NA,NA,NA,NA,NA
2018-03-04,NA,NA,NA,NA,NA,NA,NA
2018-03-05,NA,NA,NA,NA,NA,NA,NA
2018-03-06,NA,NA,NA,NA,NA,NA,NA
2018-03-07,NA,NA,NA,NA,NA,NA,NA
2018-03-08,NA,NA,NA,NA,NA,NA,NA
2018-03-09,9.511473753934782,334.3125,22.303846153846155,22.303846153846155,8.57391304347826,11.497688888888888,NA
2018-03-10,11.334532661770833,337.4166666666667,22.318854166666668,22.318854166666668,8.548020833333334,9.699364583333333,NA
2018-03-11,11.476345688645834,328.159375,17.898541666666667,17.898541666666667,8.554375,8.925677083333333,NA
2018-03-12,11.888157677604166,333.934375,19.07229166666667,19.07229166666667,8.470208333333334,8.048260416666666,NA
2018-03-13,11.435793865625,347.5833333333333,22.33,22.33,8.590833333333334,10.175791666666667,NA
2018-03-14,11.056746153854167,349.42291666666665,20.769583333333333,20.769583333333333,8.6090625,11.65109375,NA
2018-03-15,11.021110608958333,337.8958333333333,20.711041666666667,20.711041666666667,8.643541666666666,10.670385416666667,NA
2018-03-16,11.378045800625,340.1041666666667,21.4209375,21.4209375,8.616875,9.766395833333334,NA
2018-03-17,11.1710852978125,345.28125,26.141041666666666,26.141041666666666,8.672291666666666,10.619,NA
2018-03-18,11.236887668020833,331.7260416666667,21.709583333333335,21.709583333333335,8.680520833333334,9.014875,NA
2018-03-19,11.763048978229167,336.45625,31.50432098765432,31.50432098765432,8.598854166666667,7.66578125,NA
2018-03-20,11.3912277990625,327.7447916666667,25.947252747252747,25.947252747252747,8.724166666666667,9.2099375,NA
2018-03-21,11.058291030625,320.91979166666664,22.0728125,22.0728125,8.712291666666667,10.590177083333334,NA
2018-03-22,10.712876408333333,323.7583333333333,21.641666666666666,21.641666666666666,8.703854166666666,12.0396875,NA
2018-03-23,10.35372583375,320.60625,23.253777777777778,23.253777777777778,8.6871875,12.772354166666666,NA
2018-03-24,10.601872874895834,320.2552083333333,22.63012048192771,22.63012048192771,8.664895833333333,11.31334375,NA
2018-03-25,10.415642767083334,330.6875,27.259166666666665,27.259166666666665,8.687604166666667,11.654614583333334,NA
2018-03-26,10.339819078645833,322.49895833333335,28.02166666666667,28.02166666666667,8.7184375,11.39296875,NA
2018-03-27,10.4112687109375,320.76979166666666,21.56854166666667,21.56854166666667,8.7361458333333335,10.630270833333334,NA
2018-03-28,10.584254399166667,325.2916666666667,21.7915625,21.7915625,8.58625,10.144208333333333,NA
2018-03-29,10.080851377239583,364.4947916666667,33.99166666666667,33.99166666666667,8.730833333333333,11.787885416666667,NA
2018-03-30,9.900322381604166,336.6145833333333,36.65447916666667,36.65447916666667,8.730833333333333,12.51403125,NA
2018-03-31,9.6535968135625,327.1302083333333,34.6040625,34.6040625,8.705937500000001,13.122197916666666,NA
2018-04-01,9.6157707406875,331.81875,44.219375,44.219375,8.682604166666666,12.497864583333333,NA
2018-04-02,9.615065231677084,330.58125,71.82697916666666,71.82697916666666,8.637604166666666,11.988260416666666,NA
2018-04-03,9.268243021510417,326.87916666666666,107.40083333333334,107.40083333333334,8.672291666666666,13.017447916666667,NA
2018-04-04,9.35894184503125,312.85833333333335,83.08052083333334,83.08052083333334,8.659166666666668,12.769135416666666,NA
2018-04-05,9.082466103885416,321.8364583333333,100.42114583333333,100.42114583333333,8.632083333333334,13.114333333333333,NA
2018-04-06,8.88891186640625,327.80833333333334,104.61666666666666,104.61666666666666,8.577604166666667,13.037322916666668,NA
2018-04-07,8.56681270084375,331.16979166666664,120.57520833333334,120.57520833333334,8.541770833333334,14.05909375,NA
2018-04-08,8.289077175364584,326.4614583333333,233.055,233.055,8.538541666666667,15.388541666666667,NA
2018-04-09,8.456351380322916,352.31145833333335,159.07765625,159.07765625,8.511666666666667,13.81621875,NA
2018-04-10,8.509895833333333,337.3041666666667,153.96385416666666,153.96385416666666,8.524791666666667,13.670104166666667,NA
2018-04-11,8.424479166666666,328.40833333333336,71.67979166666667,71.67979166666667,8.531666666666666,14.045770833333334,NA
2018-04-12,8.350833333333334,328.859375,55.9425,55.9425,8.546354166666667,13.703177083333333,NA
2018-04-13,8.861041666666667,331.328125,47.834583333333335,47.834583333333335,8.529166666666667,10.53390625,NA
2018-04-14,9.1190625,328.83229166666666,38.712391304347825,38.712391304347825,8.557916666666667,10.874947916666667,NA
2018-04-15,8.64,325.6635416666667,34.9503125,34.9503125,8.551979166666667,13.262375,NA
2018-04-16,8.474494382022472,322.8726315789474,35.81010752688172,35.81010752688172,8.52516129032258,13.715973958333333,NA
2018-04-17,8.442291666666666,320.68645833333335,34.88458333333333,34.88458333333333,8.5384375,13.665635416666667,NA
2018-04-18,8.684842105263158,317.3697916666667,32.90604166666667,32.90604166666667,8.570416666666667,13.35796875,NA
2018-04-19,8.543125,317.009375,31.46375,31.46375,8.574479166666666,13.907385416666667,NA
2018-04-20,8.561770833333334,317.63854166666664,32.09072916666667,32.09072916666667,8.5590625,13.282729166666666,NA
2018-04-21,8.6021875,316.9322916666667,28.648958333333333,28.648958333333333,8.563333333333333,13.560822916666666,NA
2018-04-22,8.367291666666667,318.521875,29.445505617977528,29.445505617977528,8.559479166666666,15.208604166666667,NA
2018-04-23,8.0775,319.91770833333334,34.973052631578945,34.973052631578945,8.530208333333334,16.462239583333332,NA
2018-04-24,8.005625,320.128125,36.79572916666667,36.79572916666667,8.514583333333334,16.614791666666665,NA
2018-04-25,8.121458333333333,320.10625,42.8475,42.8475,8.508645833333334,16.313416666666665,NA
2018-04-26,8.045833333333333,319.8795698924731,46.23852272727273,46.23852272727273,8.506195652173913,16.5313125,NA
2018-04-27,8.162553191489362,320.515625,30.076666666666668,30.076666666666668,8.523541666666667,16.08428125,NA
2018-04-28,8.096923076923076,319.8020833333333,34.105591397849466,34.105591397849466,8.495520833333334,16.245947916666665,NA
2018-04-29,7.922197802197802,320.82708333333335,32.57802083333333,32.57802083333333,8.48125,17.049770833333334,NA
2018-04-30,8.020625,322.44375,32.47631578947368,32.47631578947368,8.494895833333333,16.301072916666666,NA
2018-05-01,8.020106382978723,323.13645833333334,36.705729166666664,36.705729166666664,8.493020833333333,16.224927083333334,NA
2018-05-02,8.119479166666666,321.41979166666664,59.200520833333336,59.200520833333336,8.491041666666666,15.27959375,NA
2018-05-03,8.48557894736842,321.58020833333336,85.92726315789474,85.92726315789474,8.472083333333334,14.387958333333334,NA
2018-05-04,8.315368421052632,323.5885416666667,110.5853125,110.5853125,8.517291666666667,16.030125,NA
2018-05-05,8.052934782608695,324.884375,106.08833333333334,106.08833333333334,8.525833333333333,17.355364583333333,NA
2018-05-06,8.0084375,327.98020833333334,NA,NA,8.5284375,17.307364583333335,NA
2018-05-07,7.945852462760869,328.7944444444444,NA,NA,8.512142857142857,17.613928637789474,NA
2018-05-08,7.8059375,328.93645833333335,31.063473684210525,31.063473684210525,8.492395833333333,18.525940808333335,NA
2018-05-09,7.753854166666667,329.00208333333336,31.472395833333334,31.472395833333334,8.518020833333333,18.207012671666668,NA
2018-05-10,7.662916666666667,329.1322916666667,29.271770833333335,29.271770833333335,8.512395833333333,18.127480368333334,NA
2018-05-11,7.500416666666666,330.1947916666667,28.79885416666667,28.79885416666667,8.529583333333333,18.237062648333332,NA
2018-05-12,7.5871875,331.09791666666666,30.10760416666667,30.10760416666667,8.5534375,17.783447011666667,NA
2018-05-13,7.592395833333334,330.93125,33.26145833333333,33.26145833333333,8.523229166666667,17.470362625729166,NA
2018-05-14,7.576875,331.48333333333335,34.28270833333333,34.28270833333333,8.493541666666667,17.510715743333332,NA
2018-05-15,7.457395833333333,331.09791666666666,41.76416666666667,41.76416666666667,8.4859375,17.91962094,NA
2018-05-16,7.532604166666666,331.165625,43.411145833333336,43.411145833333336,8.488645833333333,17.632442803333333,NA
2018-05-17,7.4035416666666665,330.9583333333333,52.05229166666667,52.05229166666667,8.469166666666666,17.817264666666667,NA
2018-05-18,7.35,331.48854166666666,52.59729166666666,52.59729166666666,8.463020833333333,17.23346153,NA
2018-05-19,7.442083333333334,332.8677083333333,42.33020833333333,42.33020833333333,8.46875,16.867345893333333,NA
2018-05-20,7.44125,333.28125,43.9,43.9,8.4746875,17.419428178333334,NA
2018-05-21,7.610104166666667,294.9625,102.56192307692308,102.56192307692308,8.44375,15.00489587484375,NA
2018-05-22,7.256770833333333,328.58020833333336,198.94621052631578,198.94621052631578,8.286145833333334,16.084551071666667,NA
2018-05-23,7.226080971642105,336.45,85.42835164835165,85.42835164835165,8.362444444444444,17.90354025736842,NA
2018-05-24,7.226145833333333,337.46153846153845,45.37052083333333,45.37052083333333,NA,18.242830215,NA
2018-05-25,7.2103125,337.2088888888889,43.09583333333333,43.09583333333333,NA,18.415849995,NA
2018-05-26,7.33,335.04891304347825,40.751041666666666,40.751041666666666,NA,16.841223946041666,NA
2018-05-27,7.4490625,335.4447916666667,40.89625,40.89625,NA,16.875316643333335,NA
2018-05-28,7.340833333333333,336.27708333333334,41.258229166666666,41.258229166666666,NA,17.143273923333332,NA
2018-05-29,7.3073958333333335,335.70416666666665,42.66739583333333,42.66739583333333,NA,17.37480412,NA
2018-05-30,7.221354166666667,335.7708333333333,39.23052083333333,39.23052083333333,NA,17.7946364,NA
2018-05-31,7.290520833333333,336.43541666666664,38.54385416666667,38.54385416666667,NA,17.38615618,NA
2018-06-01,7.256145833333333,335.88709677419354,37.18395833333334,37.18395833333334,NA,17.635717630416668,NA
2018-06-02,7.338958333333333,334.0416666666667,38.255,38.255,NA,17.350237411666665,NA
2018-06-03,6.928333333333334,293.4483333333333,56.92760416666667,56.92760416666667,NA,16.337173858333333,NA
2018-06-04,7.149791666666666,325.7625,302.1170833333333,200.88696629213484,NA,16.230360305,NA
2018-06-05,7.0253125,333.44895833333334,43.8128125,43.8128125,NA,18.556067585,NA
